COD_CURSO;COD_DISCIPLINA;COD_TURMA;HR_INICIO;NOME_DISCIPLINA;VAGAS_OFERECIDAS;VAGAS_OCUPADAS;DIA_SEMANA;HR_FIM;TIPO_AULA;NUM_SALA

GEL;GELE7083;272549;15:35:00;ACIONAMENTOS ELÉTRICOS;30;18;QUA;17:20:00;Prática;Pav. VI 02
GEL;GELE7083;272549;14:30:00;ACIONAMENTOS ELÉTRICOS;30;18;QUA;15:20:00;Teórica;Pav. VI 02
GCIV;GCIV8102;718102;20:00:00;ADMINISTRAÇÃO;30;0;SEG;21:50:00;Teórica;D-204
GCIV;GCIV8102;700006;18:20:00;ADMINISTRAÇÃO;30;7;TER;20:00:00;Teórica;D-206
GAUT;GEDA7001;655044;21:00:00;ADMINISTRAÇÃO;30;17;QUI;22:40:00;Teórica;E-301
GELT;GEDA7001;362547;14:30:00;ADMINISTRAÇÃO;25;9;TER;17:20:00;Teórica;E-305
GEL;GEDA7001;262547;14:30:00;ADMINISTRAÇÃO;25;12;TER;17:20:00;Teórica;E-305
GMEC;GEDA7001;110205;14:30:00;ADMINISTRAÇÃO;50;44;TER;17:20:00;Teórica;E-305
GTEL;GEDA7001;562547;21:00:00;ADMINISTRAÇÃO;25;21;QUI;22:40:00;Teórica;E-301
BCC;GCC1522;951522;18:20:00;ADMINISTRAÇÃO DE BANCO DE DADOS;25;14;TER;21:50:00;Teórica;PAV1LAB4
WEB;GTSI1455;651455;18:20:00;ADMINISTRAÇÃO DE BANCO DE DADOS;25;14;TER;21:50:00;Teórica;PAV1LAB4
GPROD;GADM7718;490007;17:25:00;ADMINISTRAÇÃO DE RECURSOS HUMANOS I;5;5;SEG;20:00:00;Teórica;L-21
GPROD;GADM7719;490008;20:00:00;ADMINISTRAÇÃO DE RECURSOS HUMANOS II;5;5;SEX;22:40:00;Teórica;E-303
GPROD;GADM7716;490015;15:35:00;ADMINISTRAÇÃO MERCADOLÓGICA I;5;5;SEG;18:15:00;Teórica;B-203
GLEA;GADM7717;010020;12:40:00;ADMINISTRAÇÃO MERCADOLÓGICA II;40;21;QUI;15:30:00;Teórica;L-31
GPROD;GADM7717;490006;17:25:00;ADMINISTRAÇÃO MERCADOLÓGICA II;5;5;QUI;20:00:00;Teórica;L-31
GCIV;GCIV0821;700011;18:20:00;AEROPORTOS;20;9;TER;20:00:00;Teórica;D-212
GLEA;GLEA1075;011075;14:30:00;ÁFRICA NAS RELAÇÕES INTERNACIONAIS;40;1;QUI;16:25:00;Teórica;CAMPIII201
GAUT;GEXT7501;650005-B;10:50:00;ÁLGEBRA LINEAR I;5;4;QUA;12:35:00;Teórica;H-102
GAUT;GEXT7501;650005;10:50:00;ÁLGEBRA LINEAR I;0;0;QUA;12:35:00;Teórica;H-102
GAMB;GEXT7501;162002;;ÁLGEBRA LINEAR I;50;0;;;;
BCC;GEXT7501;910002-B;13:35:00;ÁLGEBRA LINEAR I;5;6;TER;15:20:00;Teórica;PAV1SALA02
BCC;GEXT7501;910002;13:35:00;ÁLGEBRA LINEAR I;0;0;TER;15:20:00;Teórica;PAV1SALA02
GEL;GEXT7501;201021-B;16:30:00;ÁLGEBRA LINEAR I;5;5;SEG;18:15:00;Teórica;H-102
GEL;GEXT7501;201021;16:30:00;ÁLGEBRA LINEAR I;0;0;SEG;18:15:00;Teórica;H-102
GCIV;GEXT7501;700005-B;18:20:00;ÁLGEBRA LINEAR I;5;5;QUI;20:00:00;Teórica;E-305
GCIV;GEXT7501;700005;18:20:00;ÁLGEBRA LINEAR I;0;0;QUI;20:00:00;Teórica;E-305
GELT;GEXT7501;301021;16:30:00;ÁLGEBRA LINEAR I;0;0;SEG;18:15:00;Teórica;H-102
GELT;GEXT7501;301021-B;16:30:00;ÁLGEBRA LINEAR I;5;2;SEG;18:15:00;Teórica;H-102
GMEC;GEXT7501;101021;08:50:00;ÁLGEBRA LINEAR I;43;0;QUA;10:45:00;Teórica;H-101
GMEC;GEXT7501;101021-B;08:50:00;ÁLGEBRA LINEAR I;30;13;QUA;10:45:00;Teórica;H-102
GPROD;GEXT7501;400002;07:00:00;ÁLGEBRA LINEAR I;0;0;SEX;08:50:00;Teórica;
GPROD;GEXT7501;400002-B;07:00:00;ÁLGEBRA LINEAR I;5;3;SEX;08:50:00;Teórica;H-101
GTEL;GEXT7501;501021;10:50:00;ÁLGEBRA LINEAR I;1;1;QUA;12:35:00;Teórica;H-102
GTEL;GEXT7501;501021-B;10:50:00;ÁLGEBRA LINEAR I;5;3;QUA;12:35:00;Teórica;H-102
GAUT;GEXT7502;651011;12:40:00;ÁLGEBRA LINEAR II;25;18;QUI;15:20:00;Teórica;E-301
BCC;GEXT7502;920002;12:40:00;ÁLGEBRA LINEAR II;25;25;QUA;15:20:00;Teórica;E-303
GEL;GEXT7502;212113;11:45:00;ÁLGEBRA LINEAR II;25;15;QUA;14:25:00;Teórica;CAMPIII102
GCIV;GEXT7502;710003;16:30:00;ÁLGEBRA LINEAR II;50;49;TER;19:10:00;Teórica;H-102
GELT;GEXT7502;312113;11:45:00;ÁLGEBRA LINEAR II;25;8;QUA;14:25:00;Teórica;CAMPIII102
GMEC;GEXT7502;110213;07:55:00;ÁLGEBRA LINEAR II;50;35;QUI;10:45:00;Teórica;L-31
GPROD;GEXT7502;410038;07:00:00;ÁLGEBRA LINEAR II;50;49;SEG;09:40:00;Teórica;H-102
GTEL;GEXT7502;510122;12:40:00;ÁLGEBRA LINEAR II;25;19;QUI;15:20:00;Teórica;E-301
BCC;GCC1627;901627;14:30:00;ALGORITMOS EM GRAFOS;25;15;TER;18:15:00;Teórica;PAV1SALA01
WEB;GTSI1498;601408;14:30:00;ALGORITMOS EM GRAFOS;25;2;TER;18:15:00;Teórica;PAV1SALA01
GEL;GELE7081;272550;21:00:00;ANÁLISE DE SISTEMAS DE POTENCIA I;30;12;QUA;22:40:00;Teórica;D-316
GEL;GELE7095;292568;18:20:00;ANÁLISE DE SISTEMAS DE POTÊNCIA II;30;8;QUA;20:50:00;Teórica;D-316
BCC;GCC1416;940004;18:20:00;ANÁLISE E PROJETO DE SISTEMAS;25;11;QUI;21:50:00;Teórica;PAV01LAB05
WEB;GTSI1446;640006;18:20:00;ANÁLISE E PROJETO DE SISTEMAS;25;11;QUI;21:50:00;Teórica;PAV1SALA03
AMB;GFSQ9207;130021;17:30:00;ANÁLISE FÍSICO-QUÍMICAS I;60;21;SEX;19:10:00;Teórica;A-301
